#bessel weißes licht
#e_w [m] g1	b1	b2	g2

0.45	0.144	0.306	0.308	0.142
0.50	0.134	0.366	0.365	0.135
0.55	0.127	0.423	0.423	0.127
0.60	0.122	0.478	0.477	0.123
0.65	0.119	0.531	0.530	0.120
0.70	0.118	0.482	0.583	0.117
0.75	0.116	0.734	0.735	0.115
0.80	0.114	0.686	0.684	0.116
0.85	0.114	0.736	0.736	0.114
0.90	0.113	0.787	0.788	0.113
