#Messung 1: Bekannte Linse	#Messung 2: Unbekannte Linse 	
#f=100 mm			#f=50 mm			

						 

#g1[m]	#b1[m]	#g2[m]	#b2[m]	

0.220	0.177	0.150	0.0720	
0.210	0.186	0.140	0.0750		
0.200	0.192	0.130	0.0770		
0.190	0.198	0.120	0.0800		
0.180	0.204	0.110	0.0870		
0.170	0.227	0.100	0.0920		
0.160	0.251	0.090	0.1040		
0.150	0.277	0.080	0.1210		
0.140	0.319	0.070	0.1570		
0.130	0.390	0.060	0.2700		
0.120	0.525   0	0


